NAME                 Cpus_allowed_list
gh_aio-cpu-2001      0-7
gh_aio-cpu-2002      0-7
gh_aio-cpu-2003      0-7
gh_aio-cpu-2004      0-7
gh_aio-cpu-2005      0-7
gh_aio-cpu-2006      0-7
gh_aio-cpu-2007      0-7
gh_aio-cpu-2008      0-7
gh_aio-cpu-2009      0-7
gh_aio-cpu-2010      0-7
gh_aio-cpu-2011      0-7
gh_aio-cpu-2012      0-7
gh_aio-cpu-2013      0-7
gh_aio-cpu-2014      0-7
gh_aio-cpu-2015      0-7
gh_aio-cpu-2016      0-7
gh_aio-cpu-2017      0-7
gh_aio-cpu-2018      0-7
gh_aio-cpu-2019      0-7
gh_aio-cpu-2020      0-7
gh_aio-cpu-2021      0-7
gh_aio-cpu-2022      0-7
gh_aio-cpu-2023      0-7
gh_aio-cpu-2024      0-7
gh_aio-cpu-2025      0-7
gh_aio-cpu-2026      0-7
gh_aio-cpu-2027      0-7
gh_aio-cpu-2028      0-7
gh_aio-cpu-2029      0-7
gh_aio-cpu-3000      0-7
gh_aio-cpu-3001      0-7
gh_aio-cpu-3002      0-7
gh_aio-cpu-3003      0-7
gh_aio-cpu-3004      0-7
gh_aio-cpu-3005      0-7
gh_aio-cpu-3006      0-7
gh_aio-cpu-3007      0-7
gh_aio-cpu-3008      0-7
gh_aio-cpu-3009      0-7
gh_aio-cpu-3010      0-7
gh_aio-cpu-3011      0-7
gh_aio-cpu-3012      0-7
gh_aio-cpu-3013      0-7
gh_aio-cpu-3014      0-7
gh_aio-cpu-3015      0-7
gh_aio-cpu-3016      0-7
gh_aio-cpu-3017      0-7
gh_aio-cpu-3018      0-7
gh_aio-cpu-3019      0-7
gh_aio-cpu-3020      0-7
gh_aio-cpu-3021      0-7
gh_aio-cpu-3022      0-7
gh_aio-cpu-3023      0-7
gh_aio-cpu-3024      0-7
gh_aio-cpu-3025      0-7
gh_aio-cpu-3026      0-7
gh_aio-cpu-3027      0-7
gh_aio-cpu-3028      0-7
gh_aio-cpu-3029      0-7
gh_aio-cpu-4000      0-7
gh_aio-cpu-4001      0-7
gh_aio-cpu-4002      0-7
gh_aio-cpu-4003      0-7
gh_aio-cpu-4004      0-7
gh_aio-cpu-4005      0-7
gh_aio-cpu-4006      0-7
gh_aio-cpu-4007      0-7
gh_aio-cpu-4008      0-7
gh_aio-cpu-4009      0-7
gh_aio-cpu-4010      0-7
gh_aio-cpu-4011      0-7
gh_aio-cpu-4012      0-7
gh_aio-cpu-4013      0-7
gh_aio-cpu-4014      0-7
gh_aio-cpu-4015      0-7
gh_aio-cpu-4016      0-7
gh_aio-cpu-4017      0-7
gh_aio-cpu-4018      0-7
gh_aio-cpu-4019      0-7
gh_aio-cpu-4020      0-7
gh_aio-cpu-4021      0-7
gh_aio-cpu-4022      0-7
gh_aio-cpu-4023      0-7
gh_aio-cpu-4024      0-7
gh_aio-cpu-4025      0-7
gh_aio-cpu-4026      0-7
gh_aio-cpu-4027      0-7
gh_aio-cpu-4028      0-7
gh_aio-cpu-4029      0-7
gh_aio-cpu-5000      0-7
gh_aio-cpu-5001      0-7
gh_aio-cpu-5002      0-7
gh_aio-cpu-5003      0-7
gh_aio-cpu-5004      0-7
gh_aio-cpu-5005      0-7
gh_aio-cpu-5006      0-7
gh_aio-cpu-5007      0-7
gh_aio-cpu-5008      0-7
gh_aio-cpu-5009      0-7
gh_aio-cpu-5010      0-7
gh_aio-cpu-5011      0-7
gh_aio-cpu-5012      0-7
gh_aio-cpu-5013      0-7
gh_aio-cpu-5014      0-7
gh_aio-cpu-5015      0-7
gh_aio-cpu-5016      0-7
gh_aio-cpu-5017      0-7
gh_aio-cpu-5018      0-7
gh_aio-cpu-5019      0-7
gh_aio-cpu-5020      0-7
gh_aio-cpu-5021      0-7
gh_aio-cpu-5022      0-7
gh_aio-cpu-5023      0-7
gh_aio-cpu-5024      0-7
gh_aio-cpu-5025      0-7
gh_aio-cpu-5026      0-7
gh_aio-cpu-5027      0-7
gh_aio-cpu-5028      0-7
gh_aio-cpu-5029      0-7
gh_aio-cpu-6000      0-7
gh_aio-cpu-6001      0-7
gh_aio-cpu-6002      0-7
gh_aio-cpu-6003      0-7
gh_aio-cpu-6004      0-7
gh_aio-cpu-6005      0-7
gh_aio-cpu-6006      0-7
gh_aio-cpu-6007      0-7
gh_aio-cpu-6008      0-7
gh_aio-cpu-6009      0-7
gh_aio-cpu-6010      0-7
